,region,MC.Hist,MC.Now,Species,Family,Status,Growth.form,Life.form,Life.Span,Clonality,Spinescence,Leaf.Periodicity.1.evergreen.2.deciduous.3.semi.evergreen,Dispersal.mode,Pollination.System,FOREST,WOODLAND,SCRUBLAND,DWARF.SCRUB,NATURAL.GRASSLAND,SEMI.NATURAL.GRASSLAND,COASTAL.DUNES,H2O.FRESH,H2O.SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,AGRICULTURAL,X,spp,losers,winners,incomers,winnters
acerplatanoides,1,0,1,Acer platanoides,Sapindaceae,1,5,1,3,1,0,2,2,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,acerplatanoides,0,0,1,0
acoruscalamus,1,0,1,Acorus calamus,Acoraceae,0,1,6,3,3,0,2,6,1,NA,NA,,NA,NA,NA,,1,NA,NA,1,NA,,2,acoruscalamus,0,0,1,0
actaeapachypoda,1,0,1,Actaea pachypoda,Ranunculaceae,0,1,4,3,3,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,actaeapachypoda,0,0,1,0
aegopodiumpodagraria,1,0,1,Aegopodium podagraria,Apiaceae,1,1,3,3,3,0,2,1,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,aegopodiumpodagraria,0,0,1,0
ajugareptans,1,0,1,Ajuga reptans,Lamiaceae,1,1,3,3,2,0,2,4,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,ajugareptans,0,0,1,0
alcearosea,1,0,1,Alcea rosea,Malvaceae,1,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,NA,1,NA,NA,NA,NA,NA,,1,alcearosea,0,0,1,0
alliariapetiolata,1,0,1,Alliaria petiolata,Brassicaceae,1,1,3,2,1,0,1,"1,2",1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,1,alliariapetiolata,0,0,1,0
alnusglutinosa,1,0,1,Alnus glutinosa,Betulaceae,1,5,1,3,1,0,2,2,0,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,alnusglutinosa,0,0,1,0
amorphafruticosa,1,0,1,Amorpha fruticosa,Fabaceae,0,4,1,3,1,0,2,1,1,NA,1,,NA,NA,NA,,NA,NA,NA,1,NA,,2,amorphafruticosa,0,0,1,0
amphicarpaeabracteata,1,0,1,Amphicarpaea bracteata,Fabaceae,0,8,5,"1,3",1,0,2,4,1,1,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,3,amphicarpaeabracteata,0,0,1,0
apiosamericana,1,0,1,Apios americana,Fabaceae,0,8,4,3,3,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,apiosamericana,0,0,1,0
aplectrumhyemale,1,0,1,Aplectrum hyemale,Orchidaceae,0,1,4,3,3,0,2,2,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,aplectrumhyemale,0,0,1,0
apocynumandrosaemifolium,1,0,1,Apocynum androsaemifolium,Apocynaceae,0,1,3,3,1,0,2,2,1,1,1,,NA,NA,1,,NA,NA,NA,NA,1,,4,apocynumandrosaemifolium,0,0,1,0
arabishirsuta,1,0,1,Arabis hirsuta,Brassicaceae,0,1,3,"1,2,3",1,0,2,2,1,NA,NA,,NA,1,NA,,NA,NA,NA,1,NA,,2,arabishirsuta,0,0,1,0
araliahispida,1,0,1,Aralia hispida,Araliaceae,0,4,1,3,3,1,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,araliahispida,0,0,1,0
artemisiavulgaris,1,0,1,Artemisia vulgaris,Asteraceae,1,1,3,3,3,0,2,1,0,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,1,1,2,artemisiavulgaris,0,0,1,0
asclepiastuberosa,1,0,1,Asclepias tuberosa,Apocynaceae,0,1,4,3,3,0,2,2,1,NA,1,,NA,NA,1,,NA,NA,NA,NA,NA,,2,asclepiastuberosa,0,0,1,0
barbareaverna,1,0,1,Barbarea verna,Brassicaceae,1,1,3,"2,3",1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,barbareaverna,0,0,1,0
berberisthunbergii,1,0,1,Berberis thunbergii,Berberidaceae,1,4,1,3,1,1,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,berberisthunbergii,0,0,1,0
betulapapyrifera,1,0,1,Betula papyrifera,Betulaceae,0,5,1,3,1,0,2,2,0,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,betulapapyrifera,0,0,1,0
blephiliaciliata,1,0,1,Blephilia ciliata,Lamiaceae,0,1,3,3,2,0,2,"1,2",1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,blephiliaciliata,0,0,1,0
brassicarapa,1,0,1,Brassica rapa,Brassicaceae,1,1,5,"1,2",1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,brassicarapa,0,0,1,0
buglossoidesarvensis,1,0,1,Buglossoides arvensis,Boraginaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,buglossoidesarvensis,0,0,1,0
calystegiasilvatica,1,0,1,Calystegia silvatica,Convolvulaceae,0,"1, 8","1, ?",3,"                      1,2 ",0,2,"1, ?",1,1,NA,,NA,NA,NA,,NA,NA,NA,NA,1,1,3,calystegiasilvatica,0,0,1,0
cardaminehirsuta,1,0,1,Cardamine hirsuta,Brassicaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,cardaminehirsuta,0,0,1,0
carexlurida,1,0,1,Carex lurida,Cyperaceae,0,3,3,3,1,0,2,2,0,NA,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,1,carexlurida,0,0,1,0
carexradiata,1,0,1,Carex radiata,Cyperaceae,0,3,3,3,1,0,2,"1,2",0,NA,1,,NA,NA,NA,,1,NA,NA,NA,NA,,2,carexradiata,0,0,1,0
carexsuberecta,1,0,1,Carex suberecta,Cyperaceae,0,3,3,3,1,0,2,"1,2",0,NA,1,,NA,NA,NA,,1,NA,NA,1,NA,,3,carexsuberecta,0,0,1,0
carextrichocarpa,1,0,1,Carex trichocarpa,Cyperaceae,0,3,4,3,3,0,2,2,0,NA,NA,,NA,NA,NA,,1,NA,NA,NA,NA,,1,carextrichocarpa,0,0,1,0
caryaglabra,1,0,1,Carya glabra,Juglandaceae,0,5,1,3,1,0,2,5,0,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,caryaglabra,0,0,1,0
caryatomentosa,1,0,1,Carya tomentosa,Juglandaceae,0,5,1,3,1,0,2,5,0,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,caryatomentosa,0,0,1,0
catalpabignonioides,1,0,1,Catalpa bignonioides,Bignoniaceae,1,5,1,3,1,0,2,2,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,catalpabignonioides,0,0,1,0
catalpaspeciosa,1,0,1,Catalpa speciosa,Bignoniaceae,1,5,1,3,1,0,2,2,1,NA,NA,,NA,NA,NA,,NA,NA,NA,1,NA,,1,catalpaspeciosa,0,0,1,0
celastrusorbiculatus,1,0,1,Celastrus orbiculatus,Celastraceae,1,8,1,3,1,0,2,3,1,1,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,3,celastrusorbiculatus,0,0,1,0
chenopodiumalbum,1,0,1,Chenopodium album,Amaranthaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,chenopodiumalbum,0,0,1,0
cirsiumvulgare,1,0,1,Cirsium vulgare,Asteraceae,1,1,5,2,1,1,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,cirsiumvulgare,0,0,1,0
coniummaculatum,1,0,1,Conium maculatum,Apiaceae,1,1,3,2,1,0,2,6,1,NA,NA,,NA,NA,1,,NA,NA,NA,1,1,,3,coniummaculatum,0,0,1,0
convallariamajalis,1,0,1,Convallaria majalis,Ruscaceae,1,1,4,3,3,0,2,3,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,convallariamajalis,0,0,1,0
conyzacanadensis,1,0,1,Conyza canadensis,Asteraceae,0,1,5,"1,2",1,0,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,conyzacanadensis,0,0,1,0
coreopsislanceolata,1,0,1,Coreopsis lanceolata,Asteraceae,0,1,3,3,1,0,2,1,1,NA,1,,NA,NA,1,,NA,NA,NA,NA,NA,,2,coreopsislanceolata,0,0,1,0
cornusobliqua,1,0,1,Cornus obliqua,Cornaceae,0,4,1,3,1,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,cornusobliqua,0,0,1,0
cornusracemosa,1,0,1,Cornus racemosa,Cornaceae,0,4,1,3,1,0,2,3,1,NA,1,1,NA,1,NA,,NA,NA,NA,1,NA,,4,cornusracemosa,0,0,1,0
cornussericea,1,0,1,Cornus sericea,Cornaceae,0,4,1,3,1,0,2,3,1,1,1,1,NA,NA,1,,NA,NA,NA,1,NA,,5,cornussericea,0,0,1,0
cotinuscoggygria,1,0,1,Cotinus coggygria,Anacardiaceae,1,"4,5",1,3,1,0,2,2,1,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,1,,2,cotinuscoggygria,0,0,1,0
cyperusstrigosus,1,0,1,Cyperus strigosus,Cyperaceae,0,3,4,3,3,0,2,"1,2",0,NA,NA,,NA,NA,1,,1,NA,NA,1,NA,,3,cyperusstrigosus,0,0,1,0
descurainiapinnata,1,0,1,Descurainia pinnata,Brassicaceae,1,1,5,"1,2,3",1,0,2,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,1,,9,descurainiapinnata,0,0,1,0
desmanthusillinoensis,1,0,1,Desmanthus illinoensis,Fabaceae,0,1,3,3,1,0,2,1,1,NA,NA,,NA,1,NA,,NA,NA,NA,1,NA,,2,desmanthusillinoensis,0,0,1,0
desmodiumglutinosum,1,0,1,Desmodium glutinosum,Fabaceae,0,1,3,3,1,0,2,4,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,desmodiumglutinosum,0,0,1,0
dianthusarmeria,1,0,1,Dianthus armeria,Caryophyllaceae,1,1,5,"1,2",1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,dianthusarmeria,0,0,1,0
diospyrosvirginiana,1,0,1,Diospyros virginiana,Ebenaceae,0,5,1,3,1,0,2,3,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,1,diospyrosvirginiana,0,0,1,0
dioscoreavillosa,1,0,1,Dioscorea villosa,Dioscoreaceae,0,8,4,3,3,0,2,1,1,NA,1,1,NA,NA,1,,NA,NA,NA,NA,NA,,3,dioscoreavillosa,0,0,1,0
dipsacusfullonum,1,0,1,Dipsacus fullonum,Dipsacaceae,1,1,3,2,1,1,2,4,1,NA,NA,,NA,1,NA,,NA,NA,NA,NA,1,,2,dipsacusfullonum,0,0,1,0
dipsacuslaciniatus,1,0,1,Dipsacus laciniatus,Dipsacaceae,1,1,3,2,1,1,2,4,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,dipsacuslaciniatus,0,0,1,0
dircapalustris,1,0,1,Dirca palustris,Thymelaeaceae,0,4,1,3,1,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,dircapalustris,0,0,1,0
drabaverna,1,0,1,Draba verna,Brassicaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,drabaverna,0,0,1,0
dryopterismarginalis,1,0,1,Dryopteris marginalis,Dryopteridaceae,0,2,3,3,1,0,1,2,0,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,dryopterismarginalis,0,0,1,0
duchesneaindica,1,0,1,Duchesnea indica,Rosaceae,1,1,3,3,2,0,2,4,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,duchesneaindica,0,0,1,0
ecliptaprostrata,1,0,1,Eclipta prostrata,Asteraceae,0,1,5,"1,2",1,0,2,3,1,NA,NA,,NA,NA,NA,,NA,NA,NA,1,1,,2,ecliptaprostrata,0,0,1,0
elaeagnusangustifolia,1,0,1,Elaeagnus angustifolia,Elaeagnaceae,1,4,1,3,1,1,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,elaeagnusangustifolia,0,0,1,0
elaeagnusumbellata,1,0,1,Elaeagnus umbellata,Elaeagnaceae,1,4,1,3,1,0,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,elaeagnusumbellata,0,0,1,0
eleocharisobtusa,1,0,1,Eleocharis obtusa,Cyperaceae,0,3,5,"1,3",1,0,2,1,0,NA,NA,,NA,NA,NA,,1,NA,NA,NA,NA,,1,eleocharisobtusa,0,0,1,0
erigeronpulchellus,1,0,1,Erigeron pulchellus,Asteraceae,0,1,3,3,2,0,2,2,1,NA,1,,NA,NA,NA,,NA,NA,NA,1,NA,,2,erigeronpulchellus,0,0,1,0
erysimumrepandum,1,0,1,Erysimum repandum,Brassicaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,erysimumrepandum,0,0,1,0
euonymusalatus,1,0,1,Euonymus alatus,Celastraceae,1,4,1,3,1,0,2,3,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,euonymusalatus,0,0,1,0
eupatoriumalbum,1,0,1,Eupatorium album,Asteraceae,0,1,3,3,2,0,2,2,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,1,eupatoriumalbum,0,0,1,0
frangulaalnus,1,0,1,Frangula alnus,Rhamnaceae,1,4,1,3,1,0,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,frangulaalnus,0,0,1,0
geraniumrobertianum,1,0,1,Geranium robertianum,Geraniaceae,1,1,5,"1,2",1,0,2,1,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,geraniumrobertianum,0,0,1,0
glechomahederacea,1,0,1,Glechoma hederacea,Lamiaceae,1,1,3,3,2,0,2,4,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,glechomahederacea,0,0,1,0
hamamelisvirginiana,1,0,1,Hamamelis virginiana,Hamamelidaceae,0,4,1,3,1,0,2,1,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,hamamelisvirginiana,0,0,1,0
hederahelix,1,0,1,Hedera helix,Araliaceae,1,8,1,3,3,0,1,3,1,NA,1,,NA,NA,NA,,NA,NA,NA,NA,1,,2,hederahelix,0,0,1,0
helianthusdivaricatus,1,0,1,Helianthus divaricatus,Asteraceae,0,1,4,3,3,0,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,helianthusdivaricatus,0,0,1,0
helianthushirsutus,1,0,1,Helianthus hirsutus,Asteraceae,0,1,4,3,3,0,2,3,1,NA,1,1,NA,NA,1,,NA,NA,NA,NA,NA,,3,helianthushirsutus,0,0,1,0
hemerocallisfulva,1,0,1,Hemerocallis fulva,Hemerocallidaceae,1,1,4,3,3,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,hemerocallisfulva,0,0,1,0
hibiscuslaevis,1,0,1,Hibiscus laevis,Malvaceae,0,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,NA,,1,NA,NA,NA,NA,,1,hibiscuslaevis,0,0,1,0
hordeumpusillum,1,0,1,Hordeum pusillum,Poaceae,1,3,5,1,1,0,2,4,0,NA,NA,,NA,NA,1,,NA,1,NA,1,1,,4,hordeumpusillum,0,0,1,0
hostaventricosa,1,0,1,Hosta ventricosa,Agavaceae,1,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,hostaventricosa,0,0,1,0
humulusjaponicus,1,0,1,Humulus japonicus,Cannabaceae,1,8,5,"1,3",3,1,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,humulusjaponicus,0,0,1,0
hydrangeapaniculata,1,0,1,Hydrangea paniculata,Hydrangeaceae,1,4,1,3,1,0,2,1,1,NA,NA,1,NA,NA,1,,NA,NA,NA,NA,1,,3,hydrangeapaniculata,0,0,1,0
ilexopaca,1,0,1,Ilex opaca,Aquifoliaceae,0,4,1,3,1,1,1,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,ilexopaca,0,0,1,0
ipomoeahederacea,1,0,1,Ipomoea hederacea,Convolvulaceae,1,8,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,ipomoeahederacea,0,0,1,0
ipomoeapandurata,1,0,1,Ipomoea pandurata,Convolvulaceae,0,8,4,3,3,0,2,1,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,ipomoeapandurata,0,0,1,0
ipomoeapurpurea,1,0,1,Ipomoea purpurea,Convolvulaceae,1,8,5,1,2,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,ipomoeapurpurea,0,0,1,0
